uf29,BA,m2916500,Itapicuru,
uf29,BA,m2916609,Itapitanga,
uf29,BA,m2916708,Itaquara,
uf29,BA,m2916807,Itarantim,
uf29,BA,m2916856,Itatim,
uf29,BA,m2916906,Itiruçu,
uf29,BA,m2917003,Itiúba,
uf29,BA,m2917102,Itororó,
uf29,BA,m2917201,Ituaçu,
uf29,BA,m2917300,Ituberá,
uf29,BA,m2917334,Iuiú,
uf29,BA,m2917359,Jaborandi,
uf29,BA,m2917409,Jacaraci,
uf29,BA,m2917508,Jacobina,
uf29,BA,m2917607,Jaguaquara,
uf29,BA,m2917706,Jaguarari,
uf29,BA,m2917805,Jaguaripe,
uf29,BA,m2917904,Jandaíra,
uf29,BA,m2918001,Jequié,
uf29,BA,m2918100,Jeremoabo,
uf29,BA,m2918209,Jiquiriçá,
uf29,BA,m2918308,Jitaúna,
uf29,BA,m2918357,João Dourado,
uf29,BA,m2918407,Juazeiro,
uf29,BA,m2918456,Jucuruçu,
uf29,BA,m2918506,Jussara,
uf29,BA,m2918555,Jussari,
uf29,BA,m2918605,Jussiape,
uf29,BA,m2918704,Lafaiete Coutinho,
uf29,BA,m2918753,Lagoa Real,
uf29,BA,m2918803,Laje,
uf29,BA,m2918902,Lajedão,
uf29,BA,m2919009,Lajedinho,
uf29,BA,m2919058,Lajedo do Tabocal,
uf29,BA,m2919108,Lamarão,
uf29,BA,m2919157,Lapão,
uf29,BA,m2919207,Lauro de Freitas,
uf29,BA,m2919306,Lençóis,
uf29,BA,m2919405,Licínio de Almeida,
uf29,BA,m2919504,Livramento de Nossa Senhora,
uf29,BA,m2919553,Luís Eduardo Magalhães,
uf29,BA,m2919603,Macajuba,
uf29,BA,m2919702,Macarani,
uf29,BA,m2919801,Macaúbas,
uf29,BA,m2919900,Macururé,
uf29,BA,m2919926,Madre de Deus,
uf29,BA,m2919959,Maetinga,
uf29,BA,m2920007,Maiquinique,
uf29,BA,m2920106,Mairi,
uf29,BA,m2920205,Malhada,
uf29,BA,m2920304,Malhada de Pedras,
uf29,BA,m2920403,Manoel Vitorino,
uf29,BA,m2920452,Mansidão,
uf29,BA,m2920502,Maracás,
uf29,BA,m2920601,Maragogipe,
uf29,BA,m2920700,Maraú,
uf29,BA,m2920809,Marcionílio Souza,
uf29,BA,m2920908,Mascote,
uf29,BA,m2921005,Mata de São João,
uf29,BA,m2921054,Matina,
uf29,BA,m2921104,Medeiros Neto,
uf29,BA,m2921203,Miguel Calmon,
uf29,BA,m2921302,Milagres,
uf29,BA,m2921401,Mirangaba,
uf29,BA,m2921450,Mirante,
uf29,BA,m2921500,Monte Santo,
uf29,BA,m2921609,Morpará,
uf29,BA,m2921708,Morro do Chapéu,
uf29,BA,m2921807,Mortugaba,
uf29,BA,m2921906,Mucugê,
uf29,BA,m2922003,Mucuri,
uf29,BA,m2922052,Mulungu do Morro,
uf29,BA,m2922102,Mundo Novo,
uf29,BA,m2922201,Muniz Ferreira,
uf29,BA,m2922250,Muquém de São Francisco,
uf29,BA,m2922300,Muritiba,
uf29,BA,m2922409,Mutuípe,
uf29,BA,m2922508,Nazaré,
uf29,BA,m2922607,Nilo Peçanha,
uf29,BA,m2922656,Nordestina,
uf29,BA,m2922706,Nova Canaã,
uf29,BA,m2922730,Nova Fátima,
uf29,BA,m2922755,Nova Ibiá,
uf29,BA,m2922805,Nova Itarana,
uf29,BA,m2922854,Nova Redenção,
uf29,BA,m2922904,Nova Soure,
uf29,BA,m2923001,Nova Viçosa,
uf29,BA,m2923035,Novo Horizonte,
uf29,BA,m2923050,Novo Triunfo,
uf29,BA,m2923100,Olindina,
uf29,BA,m2923209,Oliveira dos Brejinhos,
uf29,BA,m2923308,Ouriçangas,
uf29,BA,m2923357,Ourolândia,
uf29,BA,m2923407,Palmas de Monte Alto,
uf29,BA,m2923506,Palmeiras,
uf29,BA,m2923605,Paramirim,
uf29,BA,m2923704,Paratinga,
uf29,BA,m2923803,Paripiranga,
uf29,BA,m2923902,Pau Brasil,
uf29,BA,m2924009,Paulo Afonso,
